country;variable;percentile;year;value;age;pop
CA;xlcusx999i;p0p100;2007;1.0740992;999;i
CA;xlcusx999i;p0p100;2008;1.06704;999;i
CA;xlcusx999i;p0p100;2009;1.1431005;999;i
CA;xlcusx999i;p0p100;2010;1.0301628;999;i
CA;xlcusx999i;p0p100;2011;0.98953068;999;i
CA;xlcusx999i;p0p100;2012;0.9991883;999;i
CA;xlcusx999i;p0p100;2013;1.0297966;999;i
CA;xlcusx999i;p0p100;2014;1.106105;999;i
CA;xlcusx999i;p0p100;2015;1.2790979;999;i
CA;xlcusx999i;p0p100;2016;1.3253996;999;i
CA;xlcusx999i;p0p100;2017;1.2977365;999;i
CA;xlcusx999i;p0p100;2018;1.2498217;999;i
CA;xlcusp999i;p0p100;1920;0.93874979;999;i
CA;xlcusp999i;p0p100;1921;0.95080292;999;i
CA;xlcusp999i;p0p100;1922;0.93704814;999;i
CA;xlcusp999i;p0p100;1923;0.91078776;999;i
CA;xlcusp999i;p0p100;1924;0.89346528;999;i
CA;xlcusp999i;p0p100;1925;0.89428365;999;i
CA;xlcusp999i;p0p100;1926;0.88950765;999;i
CA;xlcusp999i;p0p100;1927;0.8969143;999;i
CA;xlcusp999i;p0p100;1928;0.90428621;999;i
CA;xlcusp999i;p0p100;1929;0.91851562;999;i
CA;xlcusp999i;p0p100;1930;0.94627339;999;i
CA;xlcusp999i;p0p100;1931;0.9480384;999;i
CA;xlcusp999i;p0p100;1932;0.97341043;999;i
CA;xlcusp999i;p0p100;1933;0.9567852;999;i
CA;xlcusp999i;p0p100;1934;0.92555219;999;i
CA;xlcusp999i;p0p100;1935;0.91549689;999;i
CA;xlcusp999i;p0p100;1936;0.91607261;999;i
CA;xlcusp999i;p0p100;1937;0.91784215;999;i
CA;xlcusp999i;p0p100;1938;0.94873434;999;i
CA;xlcusp999i;p0p100;1939;0.96152389;999;i
CA;xlcusp999i;p0p100;1940;0.9852879;999;i
CA;xlcusp999i;p0p100;1941;0.98407656;999;i
CA;xlcusp999i;p0p100;1942;0.94657612;999;i
CA;xlcusp999i;p0p100;1943;0.9202739;999;i
CA;xlcusp999i;p0p100;1944;0.90702546;999;i
CA;xlcusp999i;p0p100;1945;0.8900798;999;i
CA;xlcusp999i;p0p100;1946;0.80964565;999;i
CA;xlcusp999i;p0p100;1947;0.80276448;999;i
CA;xlcusp999i;p0p100;1948;0.86674088;999;i
CA;xlcusp999i;p0p100;1949;0.90050393;999;i
CA;xlcusp999i;p0p100;1950;0.9174363;999;i
CA;xlcusp999i;p0p100;1951;0.94825697;999;i
CA;xlcusp999i;p0p100;1952;0.95638055;999;i
CA;xlcusp999i;p0p100;1953;0.93287081;999;i
CA;xlcusp999i;p0p100;1954;0.92820221;999;i
CA;xlcusp999i;p0p100;1955;0.9152199;999;i
CA;xlcusp999i;p0p100;1956;0.90350783;999;i
CA;xlcusp999i;p0p100;1957;0.89945239;999;i
CA;xlcusp999i;p0p100;1958;0.89758021;999;i
CA;xlcusp999i;p0p100;1959;0.90062356;999;i
CA;xlcusp999i;p0p100;1960;0.89701754;999;i
CA;xlcusp999i;p0p100;1961;0.89991045;999;i
CA;xlcusp999i;p0p100;1962;0.9019509;999;i
CA;xlcusp999i;p0p100;1963;0.90824074;999;i
CA;xlcusp999i;p0p100;1964;0.9204523;999;i
CA;xlcusp999i;p0p100;1965;0.93619466;999;i
CA;xlcusp999i;p0p100;1966;0.95477259;999;i
CA;xlcusp999i;p0p100;1967;0.96945328;999;i
CA;xlcusp999i;p0p100;1968;0.96667659;999;i
CA;xlcusp999i;p0p100;1969;0.96662843;999;i
CA;xlcusp999i;p0p100;1970;0.96106309;999;i
CA;xlcusp999i;p0p100;1971;0.95968574;999;i
CA;xlcusp999i;p0p100;1972;0.97138387;999;i
CA;xlcusp999i;p0p100;1973;1.0110005;999;i
CA;xlcusp999i;p0p100;1974;1.0736821;999;i
CA;xlcusp999i;p0p100;1975;1.0922465;999;i
CA;xlcusp999i;p0p100;1976;1.1331714;999;i
CA;xlcusp999i;p0p100;1977;1.1417222;999;i
CA;xlcusp999i;p0p100;1978;1.1398842;999;i
CA;xlcusp999i;p0p100;1979;1.1597825;999;i
CA;xlcusp999i;p0p100;1980;1.1715499;999;i
CA;xlcusp999i;p0p100;1981;1.1808134;999;i
CA;xlcusp999i;p0p100;1982;1.2118422;999;i
CA;xlcusp999i;p0p100;1983;1.2271352;999;i
CA;xlcusp999i;p0p100;1984;1.2223655;999;i
CA;xlcusp999i;p0p100;1985;1.2208637;999;i
CA;xlcusp999i;p0p100;1986;1.233245;999;i
CA;xlcusp999i;p0p100;1987;1.258975;999;i
CA;xlcusp999i;p0p100;1988;1.270299;999;i
CA;xlcusp999i;p0p100;1989;1.2775838;999;i
CA;xlcusp999i;p0p100;1990;1.2705573;999;i
CA;xlcusp999i;p0p100;1991;1.2646974;999;i
CA;xlcusp999i;p0p100;1992;1.2510909;999;i
CA;xlcusp999i;p0p100;1993;1.2357764;999;i
CA;xlcusp999i;p0p100;1994;1.227347;999;i
CA;xlcusp999i;p0p100;1995;1.2291101;999;i
CA;xlcusp999i;p0p100;1996;1.2254622;999;i
CA;xlcusp999i;p0p100;1997;1.2160206;999;i
CA;xlcusp999i;p0p100;1998;1.1981343;999;i
CA;xlcusp999i;p0p100;1999;1.2016908;999;i
CA;xlcusp999i;p0p100;2000;1.2251309;999;i
CA;xlcusp999i;p0p100;2001;1.2155528;999;i
CA;xlcusp999i;p0p100;2002;1.2084275;999;i
CA;xlcusp999i;p0p100;2003;1.2209678;999;i
CA;xlcusp999i;p0p100;2004;1.2269845;999;i
CA;xlcusp999i;p0p100;2005;1.2277625;999;i
CA;xlcusp999i;p0p100;2006;1.2236891;999;i
CA;xlcusp999i;p0p100;2007;1.230698;999;i
CA;xlcusp999i;p0p100;2008;1.2545761;999;i
CA;xlcusp999i;p0p100;2009;1.2119625;999;i
CA;xlcusp999i;p0p100;2010;1.2271984;999;i
CA;xlcusp999i;p0p100;2011;1.24;999;i
CA;xlcusp999i;p0p100;2012;1.2317744;999;i
CA;xlcusp999i;p0p100;2013;1.2311915;999;i
CA;xlcusp999i;p0p100;2014;1.2331972;999;i
CA;xlcusp999i;p0p100;2015;1.2102627;999;i
CA;xlcusp999i;p0p100;2016;1.2043732;999;i
CA;xlcusp999i;p0p100;2017;1.2113954;999;i
CA;xlcusp999i;p0p100;2018;1.2049431;999;i
CA;xlceux999i;p0p100;1999;1.5828772;999;i
CA;xlceux999i;p0p100;2000;1.3682595;999;i
CA;xlceux999i;p0p100;2001;1.3859035;999;i
CA;xlceux999i;p0p100;2002;1.4769337;999;i
CA;xlceux999i;p0p100;2003;1.5812614;999;i
CA;xlceux999i;p0p100;2004;1.6154404;999;i
CA;xlceux999i;p0p100;2005;1.5069435;999;i
CA;xlceux999i;p0p100;2006;1.42304;999;i
CA;xlceux999i;p0p100;2007;1.4700849;999;i
CA;xlceux999i;p0p100;2008;1.5630285;999;i
CA;xlceux999i;p0p100;2009;1.587985;999;i
CA;xlceux999i;p0p100;2010;1.3643728;999;i
CA;xlceux999i;p0p100;2011;1.3755801;999;i
CA;xlceux999i;p0p100;2012;1.2838192;999;i
CA;xlceux999i;p0p100;2013;1.3673028;999;i
CA;xlceux999i;p0p100;2014;1.4675069;999;i
CA;xlceux999i;p0p100;2015;1.418605;999;i
CA;xlceux999i;p0p100;2016;1.4660931;999;i
CA;xlceux999i;p0p100;2017;1.4624074;999;i
CA;xlceux999i;p0p100;2018;1.5320634;999;i
CA;xlceup999i;p0p100;1995;1.4600782;999;i
CA;xlceup999i;p0p100;1996;1.4482313;999;i
CA;xlceup999i;p0p100;1997;1.4681281;999;i
CA;xlceup999i;p0p100;1998;1.4501246;999;i
CA;xlceup999i;p0p100;1999;1.4538219;999;i
CA;xlceup999i;p0p100;2000;1.4958705;999;i
CA;xlceup999i;p0p100;2001;1.485117;999;i
CA;xlceup999i;p0p100;2002;1.4664539;999;i
CA;xlceup999i;p0p100;2003;1.4816451;999;i
CA;xlceup999i;p0p100;2004;1.50187;999;i
CA;xlceup999i;p0p100;2005;1.5195349;999;i
CA;xlceup999i;p0p100;2006;1.5293558;999;i
CA;xlceup999i;p0p100;2007;1.542416;999;i
CA;xlceup999i;p0p100;2008;1.5718282;999;i
CA;xlceup999i;p0p100;2009;1.5212703;999;i
CA;xlceup999i;p0p100;2010;1.5548031;999;i
CA;xlceup999i;p0p100;2011;1.5889511;999;i
CA;xlceup999i;p0p100;2012;1.588006;999;i
CA;xlceup999i;p0p100;2013;1.5935065;999;i
CA;xlceup999i;p0p100;2014;1.6090236;999;i
CA;xlceup999i;p0p100;2015;1.5744421;999;i
CA;xlceup999i;p0p100;2016;1.5700231;999;i
CA;xlceup999i;p0p100;2017;1.5923723;999;i
CA;xlceup999i;p0p100;2018;1.5976069;999;i
CA;wwealp999i;p0p100;1970;2.410681;999;i
CA;wwealp999i;p0p100;1971;2.4585688;999;i
CA;wwealp999i;p0p100;1972;2.4729061;999;i
CA;wwealp999i;p0p100;1973;2.4360602;999;i
CA;wwealp999i;p0p100;1974;2.3964198;999;i
CA;wwealp999i;p0p100;1975;2.444937;999;i
CA;wwealp999i;p0p100;1976;2.3668556;999;i
CA;wwealp999i;p0p100;1977;2.4224083;999;i
CA;wwealp999i;p0p100;1978;2.5071149;999;i
CA;wwealp999i;p0p100;1979;2.5475173;999;i
CA;wwealp999i;p0p100;1980;2.6518352;999;i
CA;wwealp999i;p0p100;1981;2.644901;999;i
CA;wwealp999i;p0p100;1982;2.7731116;999;i
CA;wwealp999i;p0p100;1983;2.7692113;999;i
CA;wwealp999i;p0p100;1984;2.7362502;999;i
CA;wwealp999i;p0p100;1985;2.7027099;999;i
CA;wwealp999i;p0p100;1986;2.8001461;999;i
CA;wwealp999i;p0p100;1987;2.7741137;999;i
CA;wwealp999i;p0p100;1988;2.754334;999;i
CA;wwealp999i;p0p100;1989;2.8335433;999;i
CA;wwealp999i;p0p100;1990;2.9280639;999;i
CA;wwealp999i;p0p100;1991;3.0339756;999;i
CA;wwealp999i;p0p100;1992;3.2301931;999;i
CA;wwealp999i;p0p100;1993;3.4283679;999;i
CA;wwealp999i;p0p100;1994;3.5526593;999;i
CA;wwealp999i;p0p100;1995;3.6158378;999;i
CA;wwealp999i;p0p100;1996;3.817987;999;i
CA;wwealp999i;p0p100;1997;3.9591348;999;i
CA;wwealp999i;p0p100;1998;4.0984488;999;i
CA;wwealp999i;p0p100;1999;4.0465355;999;i
CA;wwealp999i;p0p100;2000;3.8664474;999;i
CA;wwealp999i;p0p100;2001;3.8678405;999;i
CA;wwealp999i;p0p100;2002;3.7389221;999;i
CA;wwealp999i;p0p100;2003;3.7118576;999;i
CA;wwealp999i;p0p100;2004;3.6992614;999;i
CA;wwealp999i;p0p100;2005;3.7530162;999;i
CA;wwealp999i;p0p100;2006;3.9588575;999;i
CA;wwealp999i;p0p100;2007;4.1067505;999;i
CA;wwealp999i;p0p100;2008;3.9845352;999;i
CA;wwealp999i;p0p100;2009;4.3999114;999;i
CA;wwealp999i;p0p100;2010;4.4828944;999;i
CA;wwealp999i;p0p100;2011;4.4817591;999;i
CA;wwealp999i;p0p100;2012;4.6781659;999;i
CA;wwealp999i;p0p100;2013;4.8807368;999;i
CA;wwealp999i;p0p100;2014;5.0858059;999;i
CA;wwealp999i;p0p100;2015;5.4553804;999;i
CA;wwealp999i;p0p100;2016;5.6965952;999;i
CA;wwealn999i;p0p100;1970;2.7162282;999;i
CA;wwealn999i;p0p100;1971;2.7693639;999;i
CA;wwealn999i;p0p100;1972;2.807013;999;i
CA;wwealn999i;p0p100;1973;2.8172891;999;i
CA;wwealn999i;p0p100;1974;2.8695474;999;i
CA;wwealn999i;p0p100;1975;2.9606593;999;i
CA;wwealn999i;p0p100;1976;2.8313065;999;i
CA;wwealn999i;p0p100;1977;2.8913982;999;i
CA;wwealn999i;p0p100;1978;2.983536;999;i
CA;wwealn999i;p0p100;1979;3.0060575;999;i
CA;wwealn999i;p0p100;1980;3.0988925;999;i
CA;wwealn999i;p0p100;1981;3.0397727;999;i
CA;wwealn999i;p0p100;1982;3.0765281;999;i
CA;wwealn999i;p0p100;1983;2.9484324;999;i
CA;wwealn999i;p0p100;1984;2.8232527;999;i
CA;wwealn999i;p0p100;1985;2.6984189;999;i
CA;wwealn999i;p0p100;1986;2.6796288;999;i
CA;wwealn999i;p0p100;1987;2.6032064;999;i
CA;wwealn999i;p0p100;1988;2.5896091;999;i
CA;wwealn999i;p0p100;1989;2.6352258;999;i
CA;wwealn999i;p0p100;1990;2.6879311;999;i
CA;wwealn999i;p0p100;1991;2.677649;999;i
CA;wwealn999i;p0p100;1992;2.7651746;999;i
CA;wwealn999i;p0p100;1993;2.9035425;999;i
CA;wwealn999i;p0p100;1994;2.9845612;999;i
CA;wwealn999i;p0p100;1995;3.0370648;999;i
CA;wwealn999i;p0p100;1996;3.2092078;999;i
CA;wwealn999i;p0p100;1997;3.3640809;999;i
CA;wwealn999i;p0p100;1998;3.5056326;999;i
CA;wwealn999i;p0p100;1999;3.5608196;999;i
CA;wwealn999i;p0p100;2000;3.5431201;999;i
CA;wwealn999i;p0p100;2001;3.5592089;999;i
CA;wwealn999i;p0p100;2002;3.4193201;999;i
CA;wwealn999i;p0p100;2003;3.4344556;999;i
CA;wwealn999i;p0p100;2004;3.4860554;999;i
CA;wwealn999i;p0p100;2005;3.637908;999;i
CA;wwealn999i;p0p100;2006;3.9122005;999;i
CA;wwealn999i;p0p100;2007;4.1136389;999;i
CA;wwealn999i;p0p100;2008;4.0018501;999;i
CA;wwealn999i;p0p100;2009;4.391108;999;i
CA;wwealn999i;p0p100;2010;4.4721856;999;i
CA;wwealn999i;p0p100;2011;4.460412;999;i
CA;wwealn999i;p0p100;2012;4.6145883;999;i
CA;wwealn999i;p0p100;2013;4.8382254;999;i
CA;wwealn999i;p0p100;2014;5.0866456;999;i
CA;wwealn999i;p0p100;2015;5.4129443;999;i
CA;wwealn999i;p0p100;2016;5.6386423;999;i
CA;wweali999i;p0p100;1970;0.0077322363;999;i
CA;wweali999i;p0p100;1971;0.0076673315;999;i
CA;wweali999i;p0p100;1972;0.0075671403;999;i
CA;wweali999i;p0p100;1973;0.00740497;999;i
CA;wweali999i;p0p100;1974;0.0073855096;999;i
CA;wweali999i;p0p100;1975;0.0075916862;999;i
CA;wweali999i;p0p100;1976;0.0074468115;999;i
CA;wweali999i;p0p100;1977;0.0076383846;999;i
CA;wweali999i;p0p100;1978;0.0076346109;999;i
CA;wweali999i;p0p100;1979;0.0075152498;999;i
CA;wweali999i;p0p100;1980;0.0075821336;999;i
CA;wweali999i;p0p100;1981;0.0075416807;999;i
CA;wweali999i;p0p100;1982;0.0078512151;999;i
CA;wweali999i;p0p100;1983;0.0076353345;999;i
CA;wweali999i;p0p100;1984;0.0076316735;999;i
CA;wweali999i;p0p100;1985;0.0076836678;999;i
CA;wweali999i;p0p100;1986;0.0078172702;999;i
CA;wweali999i;p0p100;1987;0.0076340507;999;i
CA;wweali999i;p0p100;1988;0.0076592378;999;i
CA;wweali999i;p0p100;1989;0.0077498746;999;i
CA;wweali999i;p0p100;1990;0.0077111823;999;i
CA;wweali999i;p0p100;1991;0.007974254;999;i
CA;wweali999i;p0p100;1992;0.0089345574;999;i
CA;wweali999i;p0p100;1993;0.0098819677;999;i
CA;wweali999i;p0p100;1994;0.010822348;999;i
CA;wweali999i;p0p100;1995;0.01190577;999;i
CA;wweali999i;p0p100;1996;0.01319036;999;i
CA;wweali999i;p0p100;1997;0.01543631;999;i
CA;wweali999i;p0p100;1998;0.018281644;999;i
CA;wweali999i;p0p100;1999;0.02012123;999;i
CA;wweali999i;p0p100;2000;0.021881616;999;i
CA;wweali999i;p0p100;2001;0.023776269;999;i
CA;wweali999i;p0p100;2002;0.023689175;999;i
CA;wweali999i;p0p100;2003;0.023988498;999;i
CA;wweali999i;p0p100;2004;0.024315473;999;i
CA;wweali999i;p0p100;2005;0.02501037;999;i
CA;wweali999i;p0p100;2006;0.026933942;999;i
CA;wweali999i;p0p100;2007;0.030333169;999;i
CA;wweali999i;p0p100;2008;0.032446936;999;i
CA;wweali999i;p0p100;2009;0.03637873;999;i
CA;wweali999i;p0p100;2010;0.036288336;999;i
CA;wweali999i;p0p100;2011;0.03844985;999;i
CA;wweali999i;p0p100;2012;0.042997349;999;i
CA;wweali999i;p0p100;2013;0.046907034;999;i
CA;wweali999i;p0p100;2014;0.05051177;999;i
CA;wweali999i;p0p100;2015;0.055814303;999;i
CA;wweali999i;p0p100;2016;0.060307633;999;i
CA;wwealh999i;p0p100;1970;2.4029486;999;i
CA;wwealh999i;p0p100;1971;2.4509015;999;i
CA;wwealh999i;p0p100;1972;2.4653389;999;i
CA;wwealh999i;p0p100;1973;2.4286551;999;i
CA;wwealh999i;p0p100;1974;2.3890343;999;i
CA;wwealh999i;p0p100;1975;2.4373453;999;i
CA;wwealh999i;p0p100;1976;2.3594089;999;i
CA;wwealh999i;p0p100;1977;2.4147699;999;i
CA;wwealh999i;p0p100;1978;2.4994805;999;i
CA;wwealh999i;p0p100;1979;2.5400021;999;i
CA;wwealh999i;p0p100;1980;2.6442533;999;i
CA;wwealh999i;p0p100;1981;2.6373594;999;i
CA;wwealh999i;p0p100;1982;2.7652605;999;i
CA;wwealh999i;p0p100;1983;2.7615759;999;i
CA;wwealh999i;p0p100;1984;2.7286186;999;i
CA;wwealh999i;p0p100;1985;2.6950264;999;i
CA;wwealh999i;p0p100;1986;2.7923288;999;i
CA;wwealh999i;p0p100;1987;2.7664795;999;i
CA;wwealh999i;p0p100;1988;2.7466748;999;i
CA;wwealh999i;p0p100;1989;2.8257935;999;i
CA;wwealh999i;p0p100;1990;2.9203527;999;i
