Country,Year,P90 income threshold,P95 income threshold,P99 income threshold,P99.5 income threshold,P99.9 income threshold,P99.99 income threshold
United States,1966,79916.29,98657.36,191302.29,263455.51,475396.86,1102918.77
United States,1967,81191.1,100589.93,197350.04,269293.51,486005.69,1132036.49
United States,1968,84477.01,103958.01,203595.73,271481.98,500869.44,1096696.55
United States,1969,86919.96,107528.31,201775.26,272548.33,472124.18,1005124.46
United States,1970,87265.68,108569.88,199255.86,269395.39,482885.52,1083313.34
United States,1971,87824.61,109407.67,201218.62,266870.72,470890.9,1040320.22
United States,1972,91825.26,113155.96,209076.61,276631.81,488415.7,1075801.6
United States,1973,93518.06,116674.52,215861.86,283555.46,503846.06,1151826.32
United States,1974,91353.79,116319.76,212122.74,281849.48,552624.01,1325821.98
United States,1975,88463.55,110426.04,199562.09,266101.61,495025.12,1187518.67
United States,1976,90482.13,112619.65,201529.41,266920.81,496692.62,1215162.19
United States,1977,91470.65,114081.35,202489.09,268616.9,503251.64,1217165.33
United States,1978,92991.38,115653.48,206899,274119.7,521011.1,1320636.48
United States,1979,92726,114976.83,204934.59,273279.2,518947.74,1242139.13
United States,1980,91776.24,113629.22,202425.61,268132.09,516939.88,1361489.44
United States,1981,90812.35,112847.02,195292.28,255526.34,502844.54,1326394.95
United States,1982,90310.19,111224.65,195418.83,255041.15,507517.44,1479435.95
United States,1983,89901.66,111121.4,193266.8,253364.78,507236.66,1622965.4
United States,1984,92393.52,115183.34,201441.6,264437.8,541215.58,1858825.04
United States,1985,93917.87,117486.68,207981.03,270106.86,592760.76,1874615.87
United States,1986,95846.6,119317.1,210872.25,274190.6,525830.99,1839874.04
United States,1987,98411.82,123101.16,233555.56,323603.83,744567.32,2544475.22
United States,1988,100080.53,127446.27,257499.72,374463.26,973099.22,3829127.68
United States,1989,100597.03,129791.68,260703.87,378645.02,934587.71,3388157.8
United States,1990,99646.83,128612.06,260319.72,384665.33,958084.94,3590060.95
United States,1991,99470.59,129626.78,254475.38,367239.38,858814.28,3271431.68
United States,1992,99456.54,129052.38,264782.09,392514.23,970987.71,3912394.27
United States,1993,99193.66,128399.84,264968.19,375113.4,899153.9,3303827.1
United States,1994,100768.71,131595.41,272100.6,385459.14,918301.94,3414962.74
United States,1995,103225.24,135275.18,282421.24,405895.2,971882.09,3788194.29
United States,1996,102363.12,138558.14,298710.89,438874.78,1098693.62,4426694.29
United States,1997,105618.05,142545.14,311116.11,461396.12,1208281.88,5029116.41
United States,1998,109157.66,148565.55,329765.87,489770.47,1289686.55,5724447.37
United States,1999,112480.28,153925.6,344728.69,513855.6,1393947.96,6351674.27
United States,2000,113219.62,155723.65,349311.6,524100.73,1482574.43,7072893.31
United States,2001,112900.51,154324.25,339513.34,500840.53,1362981.36,5906728.06
United States,2002,111358.14,150922.54,324908.93,472314.04,1236752.22,5052365.27
United States,2003,110330.78,149410.74,321782.59,465008.93,1223509.76,5112975.12
United States,2004,110984.65,151689.23,343209.11,492999.73,1352402.7,6079599.12
United States,2005,111987.66,153827.49,360293.49,524128.15,1502231.93,7158930.45
United States,2006,115064.48,159576.43,375003.2,561711.1,1596957.74,7386099.52
United States,2007,117329.44,163092.77,386561.08,579265.81,1649697.92,7694221.56
United States,2008,114731.42,159176.91,370341.8,546427.17,1515361.14,6987186
United States,2009,112751.34,154719.67,344919.14,498396.32,1301359.43,5771366.91
United States,2010,112668.01,155735.31,353632.42,513490.94,1373214.42,6195782.39
United States,2011,111756.86,155613.04,356710.27,518054.51,1379279.79,6046704.45
United States,2012,112200,157510,371689,551622,1549616,7205236
